,name,adddate,application,conscurvature,convex,density,dualbound,formats,gap,initinfeasibility,laghessianavgblocksize,laghessianmaxblocksize,laghessianminblocksize,maxcoef,mincoef,nbinvars,ncons,ncontvars,ngennlcons,ngennlfunc,nintvars,njacobiannlnz,njacobiannz,nlaghessianblocks,nlaghessiandiagnz,nlaghessiannz,nldensity,nlincons,nlinfunc,nlnz,nloperands,nnlbinvars,nnlfunc,nnlintvars,nnlsemi,nnlvars,nobjnlnz,nobjnz,npolynomcons,npolynomfunc,nquadcons,nquadfunc,nsemi,nsignomcons,nsignomfunc,nsos1,nsos2,nvars,nz,objcurvature,objsense,objtype,opabs,opcentropy,opcos,opcvpower,opdiv,operrorf,opexp,opgamma,oplog,oplog10,opmin,opmod,opmul,oppower,oprpower,opsignpower,opsin,opsqr,opsqrt,optanh,opvcpower,primalbound,probtype,references,source,sourceids
0,4stufen,2001-05-01,four membrane pipe modules in feed-and-bleed coupling,indefinite,0.0,0.0215578604840349,109309.63,"{'gms', 'osil', 'mod', 'py', 'ams', 'nl'}",0.0642216115817059,80666.17223,3.846154,26.0,1.0,7936.508,1.135724e-08,48.0,98.0,101.0,4.0,4.0,0.0,87.0,312.0,13.0,21.0,135.0,0.0511764705882352,64.0,65.0,87.0,"{'div', 'log'}",0.0,34.0,0.0,0.0,50.0,0.0,6.0,8.0,8.0,13.0,13.0,0.0,9.0,9.0,0.0,0.0,149.0,318.0,linear,min,linear,,,,,1.0,,,,1.0,,,,,,,,,,,,,116329.6706,MBNLP,,GAMSCLIENT,['GAMS clients']
31,autocorr_bern20-05,2014-02-26,Autocorrelated Sequences,indefinite,0.0,0.5238095238095238,-416.0,"{'gms', 'osil', 'mod', 'py', 'ams', 'pip', 'nl'}",0.0,0.0,20.0,20.0,20.0,128.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,20.0,21.0,1.0,0.0,140.0,1.0,0.0,1.0,20.0,set(),20.0,1.0,0.0,0.0,20.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,linear,min,linear,,,,,,,,,,,,,,,,,,,,,,-416.0,MBNLP,['LiersMarinariPagaczEtal2010'],POLIP(autocorrelated_sequences/bernasconi.20.5),['POLIP']
32,autocorr_bern20-10,2014-02-26,Autocorrelated Sequences,indefinite,0.0,0.5238095238095238,-2936.0,"{'gms', 'osil', 'mod', 'py', 'ams', 'pip', 'nl'}",0.0,0.0,20.0,20.0,20.0,1760.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,20.0,21.0,1.0,0.0,270.0,1.0,0.0,1.0,20.0,set(),20.0,1.0,0.0,0.0,20.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,linear,min,linear,,,,,,,,,,,,,,,,,,,,,,-2936.0,MBNLP,['LiersMarinariPagaczEtal2010'],POLIP(autocorrelated_sequences/bernasconi.20.10),['POLIP']
33,autocorr_bern20-15,2014-03-05,Autocorrelated Sequences,indefinite,0.0,0.5238095238095238,-5960.0,"{'gms', 'osil', 'mod', 'py', 'ams', 'pip', 'nl'}",0.0,0.0,20.0,20.0,20.0,3036.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,20.0,21.0,1.0,0.0,350.0,1.0,0.0,1.0,20.0,set(),20.0,1.0,0.0,0.0,20.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,linear,min,linear,,,,,,,,,,,,,,,,,,,,,,-5960.0,MBNLP,['LiersMarinariPagaczEtal2010'],POLIP(autocorrelated_sequences/bernasconi.20.15),['POLIP']
35,autocorr_bern25-06,2014-02-26,Autocorrelated Sequences,indefinite,0.0,0.5192307692307693,-960.0,"{'gms', 'osil', 'mod', 'py', 'ams', 'pip', 'nl'}",0.0,0.0,25.0,25.0,25.0,272.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,25.0,26.0,1.0,0.0,220.0,1.0,0.0,1.0,25.0,set(),25.0,1.0,0.0,0.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,27.0,linear,min,linear,,,,,,,,,,,,,,,,,,,,,,-960.0,MBNLP,['LiersMarinariPagaczEtal2010'],POLIP(autocorrelated_sequences/bernasconi.25.6),['POLIP']
36,autocorr_bern25-13,2014-02-26,Autocorrelated Sequences,indefinite,0.0,0.5192307692307693,-8148.000008,"{'gms', 'osil', 'mod', 'py', 'ams', 'pip', 'nl'}",9.818360309035274e-10,0.0,25.0,25.0,25.0,4288.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,25.0,26.0,1.0,0.0,444.0,1.0,0.0,1.0,25.0,set(),25.0,1.0,0.0,0.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,27.0,linear,min,linear,,,,,,,,,,,,,,,,,,,,,,-8148.0,MBNLP,['LiersMarinariPagaczEtal2010'],POLIP(autocorrelated_sequences/bernasconi.25.13),['POLIP']
37,autocorr_bern25-19,2014-02-26,Autocorrelated Sequences,indefinite,0.0,0.5192307692307693,-17596.0,"{'gms', 'osil', 'mod', 'py', 'ams', 'pip', 'nl'}",0.2015842665938268,0.0,25.0,25.0,25.0,6112.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,25.0,26.0,1.0,0.0,558.0,1.0,0.0,1.0,25.0,set(),25.0,1.0,0.0,0.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,27.0,linear,min,linear,,,,,,,,,,,,,,,,,,,,,,-14644.0,MBNLP,['LiersMarinariPagaczEtal2010'],POLIP(autocorrelated_sequences/bernasconi.25.19),['POLIP']
38,autocorr_bern25-25,2014-02-26,Autocorrelated Sequences,indefinite,0.0,0.5192307692307693,-15290.21277,"{'gms', 'osil', 'mod', 'py', 'ams', 'pip', 'nl'}",0.4338159011627907,0.0,25.0,25.0,25.0,3704.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,25.0,26.0,1.0,0.0,600.0,1.0,0.0,1.0,25.0,set(),25.0,1.0,0.0,0.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,27.0,linear,min,linear,,,,,,,,,,,,,,,,,,,,,,-10664.0,MBNLP,['LiersMarinariPagaczEtal2010'],POLIP(autocorrelated_sequences/bernasconi.25.25),['POLIP']
39,autocorr_bern30-04,2014-02-26,Autocorrelated Sequences,indefinite,0.0,0.5161290322580645,-324.0,"{'gms', 'osil', 'mod', 'py', 'ams', 'pip', 'nl'}",0.0,0.0,30.0,30.0,30.0,64.0,1.0,30.0,1.0,1.0,0.0,0.0,0.0,30.0,31.0,1.0,0.0,168.0,1.0,0.0,1.0,30.0,set(),30.0,1.0,0.0,0.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,linear,min,linear,,,,,,,,,,,,,,,,,,,,,,-324.0,MBNLP,['LiersMarinariPagaczEtal2010'],POLIP(autocorrelated_sequences/bernasconi.30.4),['POLIP']
40,autocorr_bern30-08,2014-02-26,Autocorrelated Sequences,indefinite,0.0,0.5161290322580645,-2952.000003,"{'gms', 'osil', 'mod', 'py', 'ams', 'pip', 'nl'}",1.016260198547617e-09,0.0,30.0,30.0,30.0,800.0,1.0,30.0,1.0,1.0,0.0,0.0,0.0,30.0,31.0,1.0,0.0,364.0,1.0,0.0,1.0,30.0,set(),30.0,1.0,0.0,0.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,linear,min,linear,,,,,,,,,,,,,,,,,,,,,,-2952.0,MBNLP,['LiersMarinariPagaczEtal2010'],POLIP(autocorrelated_sequences/bernasconi.30.8),['POLIP']
